,Dizi İsimleri,Yapım Yılı,Bölüm Sayısı,Sezon Sayısı,Yönetmen,Senarist,Platform,Türler,Aile,Dram,Komedi,Aksiyon,Polisiye,Tarihi,Romantik,Yapım Şirketi,Başroller,Gösterim Süresi,Besteci,Ödüllü Yönetmen,Ödüllü Aktör,İhraç,Sonuç
277,Ramo,2020,40,2,Yağız Alp Akaydın,Yılmaz Şahin,Show TV,"['Aksiyon', 'Dram']",0,1,0,1,0,0,0,BKM,"Murat Yıldırım,Esra Bilgiç,İlker Aksum,Mehmet Yılmaz Ak,Olgun Şimşek,Yiğit Özşener",130,Aytekin Ataş,1,0,0,Kısmen Başarılı
278,Rise of Empires: Ottoman,2020,12,2,Emre Şahin,Kelly McPherson,Netflix,"['Aksiyon', 'Tarihî', 'Kurgu']",0,0,0,1,0,1,0,Karga Seven PicturesSTX Entertainment,"Cem Yiğit Üzümoğlu,Tommaso Basili,Tuba Büyüküstün,Damla Sönmez,Osman Sonant,Daniel Nuta",45,Unknown,0,0,0,Kısmen Başarılı
279,Sadakatsiz,2020,60,2,Neslihan Yeşilyurt,Kemal Hamamcıoğlu,Kanal D,"['Dram', 'Psikolojik gerilim']",0,1,0,0,0,0,0,MedyapımMednova,"Cansu Dere,Caner Cindoruk,Melis Sezen,Berkay Ateş",120,Cem Öget,0,0,0,Kısmen Başarılı
280,Saygı: Bir Ercüment Çözer Dizisi,2020,16,2,Ali Taner Baltacı,Ercan Mehmet Erdem,BluTV,"['Dram', 'Polisiye', 'Suç']",0,1,0,1,1,0,0,Inter Medya,"Nejat İşler,Miray Daner,Boran Kuzum",60,Unknown,0,0,0,Kısmen Başarılı
281,Sen Çal Kapımı,2020,52,2,Ender Mıhlar,Ayşe Üner Kutlu,FOX,"['Duygusal', 'Romantik komedi']",0,0,1,0,0,0,1,MF Yapım,"Hande Erçel,Kerem Bürsin",140,Aytekin Ataş,0,0,0,Kısmen Başarılı
282,Sokağın Çocukları,2020,46,6,Kadri Beran Taşkın,??_?//01?,BluTV,"['Aksiyon', 'Dram', 'Polisiye', 'Suç']",0,1,0,1,1,0,0,Cameo YapımSıfır Bir Yapım,"Furkan Murat,UğurOnur Akbay,Hakan Erkuran,Volkan Ölçen,Kerem Ali Yengüner,Burak Şahin,Burak Akyüz",43,Uğur Ateş,0,0,0,Kısmen Olgun
283,Sol Yanım,2020,12,1,Serdar Gözelekli,Melis Civelek,Star TV,['Dram'],0,1,0,0,0,0,0,BKM Yapım,"Özge Yağız,Tolga Mendi,Cemre Baysel,Emre Bey,Defne Samyeli,Cansel Elçin",120,Unknown,0,0,0,Başarısız
284,Şaşkın Bakkal 216,2020,3,1,Bedran Güzel,Önder Açıkbaş,TV8,['Komedi'],0,0,1,0,0,0,0,Acun Medya,"Önder Açıkbaş,Zihni Göktay,Zuhal Yalçın,Levent Akkök,Ceylan Yılmaz,İsa Telci,Ayça Bildik,Mustafa Çelik,Buse Narcı,Gülten Çelik,Yaşar Mahmutoğlu",120,Unknown,0,0,0,Başarısız
285,Şeref Sözü,2020,4,1,Cevdet Mercan,Eda Tezcan,Show TV,"['Aksiyon', 'Dram']",0,1,0,1,0,0,0,TIMS&B Productions,"Tolgahan Sayışman,Sude Güler",120,Aytekin Ataş,0,0,0,Başarısız
286,Tövbeler Olsun,2020,32,1,Serdar Akar,Hasan Kaçan,TRT 1,"['Aile', 'Durum komedisi']",1,0,1,0,0,0,0,Milim Sanat,"Güven Kıraç,İpek Tuzcuoğlu,Erkan Can",120,Barış Aryay,0,0,0,Başarısız
287,Tutunamayanlar,2020,19,1,Murad Zaloğlu,Osman Nail Doğan,TRT 1,['Absürt komedi'],0,0,1,0,0,0,0,İstanbul Medya AkademisiNeden Film,"Doğu Demirkol,Ece Çeşmioğlu,Zafer Algöz,Barış Yıldız,Bora Akkaş",70,Kaan Boşnak,0,0,0,Başarısız
288,Türkan Hanım'ın Konağı,2020,193,1,Unknown,Unknown,TRT 1,"['Aile', 'Dram']",1,1,0,0,0,0,0,Unknown,"Arzu Yanardağ,Mürşit Ağa Bağ,Ayşen İnci,Okan Yiğit",75,Gökhan Tamir,0,0,0,Başarısız
289,Uyanış: Büyük Selçuklu,2020,34,1,Sedat İnci,Serdar Özönalan,TRT 1,"['Tarihî', 'Kurgu', 'Aksiyon', 'Dram']",0,1,0,1,0,1,0,Akli Film,"Buğra Gülsoy,Ekin Koç,Hatice Şendil,Gürkan Uygun,Sezin Akbaşoğulları,Sevda Erginci,Mehmet Özgür,Leyla Lydia Tuğutlu,Cemal Toktaş,İlker Kızmaz,Ali Gözüşirin,Leyla Feray,Pınar Töre,Bülent Alkış",120,Gökhan Kırdar,0,0,0,Başarısız
290,Ya İstiklal Ya Ölüm,2020,12,1,Yasin Uslu,Funda Çetin,TRT 1,"['Tarihî', 'Kurgu']",0,0,0,0,0,1,0,Kirli Kedi,"İlker Kızmaz,Birkan Sokullu,Dolunay Soysert,Osman Sonant,Mehmet Özgür,Rıza Kocaoğlu,Hilmi Cem İntepe,Melis Sezen",120,Aytuğ Yargıç,0,0,0,Başarısız
291,Yarım Kalan Aşklar,2020,8,1,Umur Turagay,Ethem Özışık,BluTV,"['Polisiye', 'Suç', 'Romantik']",0,0,0,1,1,0,1,BluTVTims Productions,"Burak Deniz,Dilan Çiçek Deniz,Cem Davran,Ezel Akay",34,Unknown,0,0,0,Başarısız
292,Yeni Hayat,2020,9,1,Başak Soysal,Elif Usman,Kanal D,"['Aksiyon', 'Dram']",0,1,0,1,0,0,0,OJO Pictures,"Serkan Çayoğlu,Melisa Aslı Pamuk,Tayanç Ayaydın,Nilperi Şahinkaya",130,Fırat Yükselir,0,0,0,Başarısız
293,Zemheri,2020,10,1,Hilal Saral,Sema Ergenekon,Show TV,"['Aşk', 'Drama']",0,1,0,0,0,0,1,Ay Yapım,"Alperen Duymaz,Ayça Ayşin Turan,Caner Cindoruk",130,Saki Çimen,0,0,0,Başarısız
294,Zümrüdüanka,2020,26,2,Cemal Şan,Can Sinan,FOX,['Dram'],0,1,0,0,0,0,0,Pastel Film,"Alp Navruz,Ceren Yılmaz,Selim Bayraktar,Hatice Aslan,İsmail Hacıoğlu",120,Unknown,0,0,0,Kısmen Başarılı
295,Afili Aşk,2019,38,1,Serdar Gözelekli,Barış Erdoğan,Kanal D,['Romantik komedi'],0,0,1,0,0,0,1,ARC Film,"Çağlar Ertuğrul,Burcu Özberk",120,Aslı Demirer,0,1,0,Başarısız
296,Aşk Ağlatır,2019,16,1,Gökçen Usta,Yelda Eroğlu,Show TV,['Dram'],0,1,0,0,0,0,0,MF Yapım,"Deniz Can Aktaş,Hafsanur Sancaktutan,Yağız Can Konyalı,Eda Şölenci",120,Unknown,0,0,0,Başarısız
297,Atiye,2019,24,3,Ozan Açıktan,Jason George,Netflix,"['Dram', 'Gerilim', 'Fantastik']",0,1,0,1,0,0,0,OGM Pictures,"Beren Saat,Mehmet Günsür,Metin Akdülger,Melisa Şenolsun",40,Unknown,0,1,0,Başarılı
298,Aynen Aynen,2019,43,6,Yunus Ozan Korkut,Alper Erze,BluTV,"['Komedi', 'Aşk']",0,0,1,0,0,0,1,Unknown,"Kerem Bursin,Nilperi Şahinkaya,Uraz Kaygılaroğlu",10,Unknown,0,0,0,Kısmen Olgun
299,Azize,2019,6,1,Volkan Kocatürk,Başar Başaran,Kanal D,['Dram'],0,1,0,0,0,0,0,Süreç Film,"Hande Erçel,Buğra Gülsoy",130,Batuhan Fırat,0,0,0,Başarısız
300,Behzat Ç. Bir Ankara Polisiyesi,2019,9,1,Serdar Akar,Emrah Serbes,BluTV,"['Polisiye', 'Macera', 'Dram', 'Komedi', 'Aksiyon', 'Gerilim']",0,1,1,1,1,0,0,Inter Medya,"Erdal Beşikçioğlu,Canan Ergüder,Fatih Artman,İnanç Konukçu,Berkan Şal,Seda Bakan,Berke Üzrek,Eray Eserol,Hakan Hatipoğlu,Ege Aydan,Ayça Eren,Nejat İşler,Güven Kıraç,Zafer Algöz,Aslı Tandoğan,Ahmet Uğurlu,Mine Tugay,Engin Öztürk,Sezin Akbaşoğulları,  Serdar Orçin,Gökhan Yıkılkan,Ertuğrul Şakar ",75,Pilli Bebek,0,0,0,Başarısız
301,Benim Adım Melek,2019,66,2,Cem Akyoldaş,Nilüfer Özçelik,TRT 1,['Dram'],0,1,0,0,0,0,0,Üs Yapım,"Nehir Erdoğan,Kutsi",120,Yıldıray Gürgen,0,0,0,Kısmen Başarılı
302,Benim Tatlı Yalanım,2019,28,1,Barış Erçetin,Deniz Dargı,Star TV,"['Romantik komedi', 'Dram']",0,1,1,0,0,0,1,O3 Medya,"Furkan Palalı,Aslı Bekiroğlu,Lavinya Ünlüer",120,Cem Tuncer,0,0,0,Başarısız
303,Bir Aile Hikayesi,2019,18,2,Merve Girgin Aytekin,Deniz Madanoğlu,FOX,"['Dram', 'Aile', 'Komedi']",1,1,1,0,0,0,0,Medyapım20th Century Fox Television,"Songül Öden,Birkan Sokullu,Celil Nalçakan,Olgun Toker,Elçin Afacan,İrem Sak",130,Cem Öget,0,0,0,Kısmen Başarılı
304,Canevim,2019,17,1,Adnan Güler,Filiz Alpgezmen,atv,"['Dram', 'Aile']",1,1,0,0,0,0,0,Koliba Film,"Aras Aydın,Biran Damla Yılmaz,Özgür Çevik,Burcu Tuna,Ezgi Şenler,Nihan Büyükağaç,Rıza Akın,Bedia Ener",140,Engin Arslan,0,0,0,Başarısız
305,Çocuk,2019,18,1,Serkan Birinci,Nazlı Sunlu Kaçan,Star TV,"['Dram', 'Aile']",1,1,0,0,0,0,0,1441 Productions,"Nazan Kesal,İsmail Hacıoğlu,Serhat Teoman,Merve Çağıran,Ceyda Ateş Toplusoy,Kenan Acar,Mehmet Emin Güney",120,Unknown,0,0,0,Başarısız
306,Dengi Dengine,2019,5,1,Osman Nail Doğan,Optik Düşler Senaryo Grubu,TRT 1,"['Komedi', 'Aile']",1,0,1,0,0,0,0,İstanbul Medya Akademisi,"Su Kutlu,Bora Akkaş,Baran Can Eraslan,Murat Kekilli,Şinasi Yurtsever,Altan Erkekli,Benian Dönmez,Jale Aylanç",100,Ali Saran,0,0,0,Başarısız
307,Doğduğun Ev Kaderindir,2019,43,2,Çağrı Bayrak,Eylem Canpolat,TV8,['Dram'],0,1,0,0,0,0,0,OGM Pictures,"Demet Özdemir,İbrahim Çelikkol,Engin Öztürk",130,Fırat Yükselir,0,0,0,Kısmen Başarılı
308,Ferhat ile Şirin,2019,6,1,Mehmet Ada Öztekin,Savaş Korkmaz,FOX,['Dram'],0,1,0,0,0,0,0,O3 Medya,"Cansu Dere,Tolga Sarıtaş,Leyla Tanlar",120,Tuna Hizmetli,0,1,0,Başarısız
309,Güvercin,2019,16,1,Altan Dönmez,Halil Özer,Star TV,['Dram'],0,1,0,0,0,0,0,Pastel Film,"Mehmet Ali Nuroğlu,Almila AdaMenderes SamancılarNursel Köse",120,Unknown,1,0,0,Başarısız
310,Halka,2019,19,1,Volkan Kocatürk,Aziz Tuna,TRT 1,"['Aksiyon', 'Dram', 'Polisiye', 'Suç']",0,1,0,1,1,0,0,Es Film,"Nazan Kesal,Serkan Çayoğlu,Kaan Yıldırım,Hande Erçel,Hazal Subaşı,Ahmet Mümtaz Taylan",130,Sertaç Özgümüş,0,0,0,Başarısız
311,Hekimoğlu,2019,51,2,Emre Aybek,Murat Taşkent,Kanal D,"['Medikal', 'Drama', 'Komedi']",0,1,1,0,0,0,1,Karga Seven Pictures,"Timuçin Esen,Okan Yalabık,Ebru Özkan,Kaan Yıldırım,Aytaç Şaşmaz,Damla Colbay",130,Tuna Hizmetli,0,1,0,Kısmen Başarılı
312,Her Yerde Sen,2019,23,1,Ender Mıhlar,Meriç Acemi,FOX,['Romantik komedi'],0,0,1,0,0,0,1,Karga Seven Pictures,"Furkan Andıç,Aybüke Pusat",120,Alpay Göltekin,0,0,0,Başarısız
313,Hercai,2019,69,3,Cem Karcı,Eda Tezcan,atv,"['Dram', 'Aşk']",0,1,0,0,0,0,1,Mia Yapım,"Akın Akınöz,Ebru Şahin",150,Ender Gündüzlü,1,1,0,Başarılı
314,İçten Sesler Korosu,2019,5,1,Onur Ünlü,Unknown,YouTube,['Komedi'],0,0,1,0,0,0,0,Unknown,"Ahmet Rıfat Şungar,Özgür Emre Yıldırım,Taner Ölmez,Melis Sezen,Ferit Kaya",10,Unknown,0,1,0,Başarısız
315,İncir Ağacı,2019,140,1,Nuh Şen,Ayla Hacıoğulları,TRT 1,['Dram'],0,1,0,0,0,0,0,Sonsuzkare Yapım,"Özlem Güveli,Arif Nazım",74,Unknown,0,0,0,Başarısız
316,Kardeş Çocukları,2019,21,2,Faruk Teber,Sırma Yanık,Star TV,['Dram'],0,1,0,0,0,0,0,Gold Film,"Mehmet Aslantuğ,Ayça Bingöl,Nur Fettahoğlu,Afra Saraçoğlu,Alara Turan,Furkan Andıç,Berkay Hardal",130,Aytekin Ataş,0,1,0,Kısmen Başarılı
317,Kimse Bilmez,2019,27,1,U. Hakan Eren,Hasan Burak Kayacı,atv,"['Dram', 'Aile']",1,1,0,0,0,0,0,Baba Yapım,"Keremcem,Özgü Kaya,Engin Hepileri,Burak Serdar Şanal",140,Engin Aslan,0,0,0,Başarısız
318,Kurşun,2019,7,1,Murat Can Oğuz,Kerem Deren,FOX,"['Aksiyon', 'Dram']",0,1,0,1,0,0,0,Most Production,"Engin Altan Düzyatan,Burçin Terzioğlu,Berrak Tüzünataç,Sarp Akkaya,Engin Şenkan,Kürşat Alnıaçık,Seda Akman",120,Alpay Göltekin,0,1,0,Başarısız
319,Kuruluş Osman,2019,142,5,Metin Günay,Mehmet Bozdağ,atv,"['Tarihî', 'Kurgu', 'Aksiyon', 'Macera', 'Dram']",0,1,0,1,0,1,0,Bozdağ Film,"Burak Özçivit,Yıldız Çağrı Atiksoy,Özge Törer,Emre Bey,Çağrı Şensoy,Yiğit Uçan,Nurettin Sönmez,Ragıp Savaş,Saruhan Hünel,Erkan Avcı,Yıldıray Şahinler,Yeşim Ceren Bozoğlu",135,Alpay Göltekin,0,0,0,Kısmen Olgun
320,Kuzey Yıldızı İlk Aşk,2019,64,2,Ersoy Güler,Ersoy Güler,Show TV,"['Komedi', 'Romantik']",0,0,1,0,0,0,1,Süreç Film,"İsmail Demirci,Aslıhan Güner",140,Batuhan Fırat,0,0,0,Kısmen Başarılı
321,Kuzgun,2019,21,2,Ali Bilgin,Burcu Görgün,Star TV,['Dram'],0,1,0,0,0,0,0,Ay Yapım,"Barış Arduç,Burcu Biricik",130,Toygar Işıklı,1,1,0,Kısmen Başarılı
322,Leke,2019,9,1,Metin Balekoğlu,Yıldız Tunç,Kanal D,"['Dram', 'Aile']",1,1,0,0,0,0,0,TIMS&B Productions,"Burak Sevinç,Melis Sezen",140,Cem Yıldız,0,0,0,Başarısız
323,Mucize Doktor,2019,64,2,Yusuf Pirhasan,Pınar Bulut,FOX,"['Medikal', 'Dram']",0,1,0,0,0,0,0,MF Yapım,"Taner Ölmez,Onur Tuna,Sinem Ünsal",130,Aytekin Ataş,1,1,1,Kısmen Başarılı
324,Nöbet,2019,8,1,Necati Şaşmaz,Necati Şaşmaz,Show TV,"['Dram', 'Aksiyon', 'Askerî', 'Savaş']",0,1,0,1,0,0,0,Pana Film,"Yurdaer Okur,Saygın Soysal,Deniz Bolışık,İpek Karapınar,Kürşat Alnıaçık,İbrahim Kendirci",130,Gökhan Kırdar,0,0,0,Başarısız
325,Sefirin Kızı,2019,52,2,Emre Kabakuşak,Ayşe Ferda Eryılmaz,Star TV,['Dram'],0,1,0,0,0,0,0,O3 Medya,"Engin Akyürek,Neslihan Atagül,Tuba Büyüküstün",120,Gökhan Kırdar,1,0,0,Kısmen Başarılı
326,Sevdim Seni Bir Kere,2019,154,1,Bergüzar Demiroğlu,Unknown,Star TV,"['Dram', 'Romantik', 'Aile']",1,1,0,0,0,0,1,Focus Film,"Yağmur Çokgenç,Oğuzhan Kayra Koç,Gonca Yakut,Volkan Murat,Benli,Didem Özkavukçu",55,Unknown,0,0,0,Başarısız
327,Sevgili Geçmiş,2019,8,1,Aydın Bulut,Funda Alp,Star TV,['Dram'],0,1,0,0,0,0,0,Süreç Film,"Ece Uslu,Emre Kınay,Sevda Erginci,Seçkin Özdemir,Elifcan Ongurlar,Melis Sezen,Özge Özacar",120,Batuhan Fırat,0,0,0,Başarısız
328,Şampiyon,2019,34,1,Devrim Yalçın,Alphan Dikmen,TRT 1,"['Dram', 'Aksiyon', 'Spor']",0,1,0,1,0,0,0,BSK Yapım,"Tolgahan Sayışman,Yıldız Çağrı Atiksoy,Erdal Özyağcılar,Erkan Avcı",120,Cem Öget,0,0,0,Başarısız
329,Tek Yürek,2019,22,1,Nezaket Coşkun,Meriç Demiray,TRT 1,"['Aile', 'Gençlik', 'Aksiyon', 'Spor']",1,0,0,1,0,0,0,Degas Film,"Tayanç Ayaydın,Vildan Atasever,Hilmi Cem İntepe,Anıl Tetik,Alpay Kemal Atalan,Eslem Akar,Tugay Bahşi,Arda Anarat,Atakan Yılmaz,Kaan Altay Köprülü",130,Tuna Velibaşoğlu,0,0,0,Başarısız
330,Vurgun,2019,6,1,Altan Dönmez,Başar Başaran,FOX,"['Dram', 'Aile']",1,1,0,0,0,0,0,Gold Film,"Erkan Petekkaya,Deniz Çakır,Emre Kınay,Begüm Birgören,Cemal Toktaş,Aliye Uzunatağan,Altan Erkek,liİnanç Konukçu",130,Zeynep Alasya,1,1,0,Başarısız
331,Vuslat,2019,44,2,Barış Yöş,Betül Yağsağan,TRT 1,"['Dram', 'Aksiyon']",0,1,0,1,0,0,0,A23 Medya,"Kadir Doğulu,Devrim Özkan,Mehmet Özgür,Ümit Kantarcılar",130,Fırat Yükselir,0,0,0,Kısmen Başarılı
332,Yaralı Kuşlar,2019,165,1,Yasemin Erkull,Elif Yılmaz,Kanal D,['Dram'],0,1,0,0,0,0,0,Stellar Yapım,"Gizem Arıkan,Emre Mete Sönmez,Ali Yasin Özegemen,Ayşen İnci,Özgür Özberk,Elif Erol,Melis Cemre Çınar",55,Murat Evgin,0,0,0,Başarısız
333,Yemin,2019,503,4,Hakan Arslan,Nazmiye Yılmaz,Kanal 7,['Pembe dizi'],0,0,0,0,0,0,0,Karamel Yapım,"Gökberk Demirci,Setenay Süer,Can Verel,Yağmur Şahbazova,Özge Yağız,Cansu Tuman",70,Unknown,0,0,0,Başarılı
334,Yüzleşme,2019,4,1,Ömer Faruk Sorak,Altuğ Küçük,Kanal D,"['Dram', 'Polisiye']",0,1,0,1,1,0,0,Unknown,"Hande Doğandemir,Uğur Yücel,Engin Öztürk,Yiğit Kirazcı",120,Unknown,0,0,0,Başarısız
335,Zalim İstanbul,2019,39,2,Cevdet Mercan,Aysun Erdoğan,Kanal D,['Dram'],0,1,0,0,0,0,0,Avşar Film,"Fikret Kuşkan,Deniz Uğur,Mine Tugay,Mehmet Ozan Dolunay,Sera Kutlubey,Berker Güven,Simay Barlas,İdris Nebi Taşkan,Bahar Şahin",120,Alp Yenier,0,0,0,Kısmen Başarılı
336,Zengin ve Yoksul,2019,8,1,Deniz Yorulmazer,Yelda Eroğlu,atv,"['Dram', 'Aşk']",0,1,0,0,0,0,1,Unknown,"Binnur Kaya,Gökhan Alkan,Osman Sonant,Evrim Solmaz,Damla Colbay,Gülcan Arslan",120,Alp Yenier,0,0,0,Başarısız
337,4N1K İlk Aşk,2018,12,1,Murat Onbul,Ferhat Ergün,FOX,"['Aşk', 'Gençlik', 'Komedi']",0,0,1,0,0,0,1,Fabrika Yapım,"Gözde Mutluer,Eslem Akar,Burak Yörük,SinaÖzer,Cihan Şimşek",120,Emir Ersoy,0,0,0,Başarısız
338,8. Gün,2018,6,1,Çağrı Vila Lostuvalı,Savaş Korkmaz,atv,"['Aksiyon', 'Dram']",0,1,0,1,0,0,0,Ay Yapım,"Burcu Biricik,Musa Uzunlar,Buğra Gülsoy,Ceyda Düvenci,Yiğit Kirazcı,Hakan Kurtaş,Gökçe Yanardağ,Sermet Yeşil",120,Unknown,1,0,0,Başarısız
339,Adı: Zehra,2018,14,1,Taner Akvardar,Murat Emir Eren,FOX,['Dram'],0,1,0,0,0,0,0,Unknown,"Alican Yücesoy,Zeynep Çamcı,Hatice Aslan,İnan Konukçu,Seda Gücen",120,Unknown,0,0,0,Başarısız
340,Ağlama Anne,2018,13,1,Feride Kaytan,Serdar Oğuz,atv,['Dram'],0,1,0,0,0,0,0,Süreç Film,"Birce Akalay,Cansel Elçin,Özlem Yılmaz",120,Jingle Tv,0,0,0,Başarısız
341,Avlu,2018,44,2,Yüksel Aksu,Ahmet Yurdakul,Star TV,"['Dram', 'Suç']",0,1,0,1,0,0,0,Limon Film,"Demet Evgar,Ceren Moray,Nursel Köse,Eslem Akar",120,Unknown,0,0,0,Kısmen Başarılı
342,Babamın Günahları,2018,4,1,Ahmet Saatcioğlu,Unknown,Star TV,['Aksiyon'],0,0,0,1,0,0,0,Unknown,"Melisa Sözen,Kadir Doğulu,Mustafa Uğurlu",80,Unknown,0,0,0,Başarısız
343,Bartu Ben,2018,10,1,Tolga Karaçelik,Bartu Küçükçağlayan,BluTV,['Komedi'],0,0,1,0,0,0,0,BKM,Bartu Küçükçağlayan,40,Unknown,0,0,0,Başarısız
344,Beni Bırakma,2018,630,4,Gürsel Ateş,Nebahat Küçükazay,atv,"['Dram', 'Romantik']",0,1,0,0,0,0,1,Focus Film,"Gökberk Yıldırım,Eda Nur Gülbudak,Cenay Turksever,Hazal Eylül Çelik",60,Volkan Akmehmet,0,0,0,Başarılı
345,Bir Deli Rüzgar,2018,6,1,Altan Dönmez,Volkan Gürses,FOX,['Dram'],0,1,0,0,0,0,0,TMC Film,"Pınar Deniz,Berk Cankat,Hatice Aslan,Almila Ada",130,Murat Başaran,1,1,0,Başarısız
346,Bir Litre Gözyaşı,2018,15,1,Serhan Şahin,Gül Meriç Özen,Kanal D,"['Dram', 'Romantik']",0,1,0,0,0,0,1,Medyapım,"Sanem Çelik,Miray Daner,Ogeday Girişken,Tolga Tekin,Mert Yazıcıoğlu",140,Jingle TV,0,1,0,Başarısız
347,Bir Mucize Olsun,2018,3,1,Hamdi Alkan,Can Sinan,FOX,"['Dram', 'Aşk']",0,1,0,0,0,0,1,Pastel Film,"Furkan Palalı,Su Kutlu",120,Unknown,0,0,0,Başarısız
348,Bir Umut Yeter,2018,6,1,Yusuf Pirhasan,Umut Açıkalın,Kanal D,['Drama'],0,1,0,0,0,0,1,MF Yapım,"Tolgahan Sayışman,Esra Bilgiç,Hazal Subaşı",120,Jingle TV,1,0,0,Başarısız
349,Bir Zamanlar Çukurova,2018,141,4,Murat Saraçoğlu,Yıldız Tunç,atv,"['Dram', 'Romantik', 'Aksiyon', 'Tarihî']",0,1,0,1,0,1,1,Tims&B Productions,"Hilal Altınbilek,Vahide Perçin,Uğur Güneş,Murat Ünalmış,İbrahim Çelikkol,Kerem Alışık,Melike İpek Yalova,Furkan Palalı,Esra Dermancıoğlu,İlayda Çevik,Nazan Kesal,Hande Soral,Hülya Darcan,Serpil Tamur",150,Aytekin Ataş,0,0,0,Başarılı
350,Bozkır,2018,18,2,Bahadır İnce,Levent Cantek,BluTV,"['Polisiye', 'Dram', 'Suç']",0,1,0,1,1,0,0,ARC Film,"Yiğit Özşener,Ekin Koç,Yiğit Özşener,Furkan Andıç",58,Unknown,0,0,0,Kısmen Başarılı
351,Börü,2018,6,1,Can Emre,Alper Çağlar,Star TV,"['Polisiye', 'Dram', 'Aksiyon', 'Savaş']",0,1,0,1,1,0,0,CaglarArtsInsignia,"Serkan Çayoğlu,Mesut Akusta,Ahu Türkpençe,Murat Arkın,Emir Benderlioğlu,Melis Hacic,Fırat Doğruloğlu,Ahmet Pınar,Can Nergis,Armağan Oğuz,Bedii Akın,Ozan Ağaç,Gürol Tonbul",60,Unknown,0,0,0,Başarısız
352,Can Kırıkları,2018,4,1,Serkan Birinci,Gül Gürsoy,atv,"['Aksiyon', 'Dram']",0,1,0,1,0,0,0,Unknown,"Hande Doğandemir,Funda Eryiğit,Seçkin Özdemir,Alican Yücesoy,Özgür Çevik",120,Alp Yenier,0,0,0,Başarısız
353,Çarpışma,2018,24,1,Uluç Bayraktar,Ali Aydın,Show TV,"['Aksiyon', 'Dram', 'Polisiye']",0,1,0,1,1,0,0,Ay Yapım,"Kıvanç Tatlıtuğ,Elçin Sangu,Onur Saylak,Melisa Aslı Pamuk,Alperen Duymaz",140,Toygar Işıklı,1,1,0,Başarısız
354,Darısı Başımıza,2018,5,1,Barış Yöş,Deniz Dargı,Show TV,"['Dram', 'Aile', 'Komedi']",1,1,1,0,0,0,0,Gold Film,"Ozan Dolunay,Elif Doğan",120,Unknown,0,0,0,Başarısız
355,Dip,2018,8,1,Uygar Kutlu,Başar Başaran,puhutv,"['Aksiyon', 'Macera', 'Polisiye']",0,0,0,1,1,0,0,TMC Film,"İlker Kaleli,Neslihan Atagül,Bülent Emin Yarar,BerrakTüzünataç,Lale Mansur,Defne Kayalar,Olgun Toker,Gün Koper,Gözde Türkpençe,Can Gox",60,Unknown,0,1,0,Başarısız
356,Dudullu Postası,2018,13,1,Erkan Tunç,Funda Alp,BluTV,['Komedi'],0,0,1,0,0,0,0,Limon Film,"Güven Kıraç,Hazar Ergüçlü,Taner Ölmez,Erkan Can,Bülent Şakrak",34,Unknown,0,1,0,Başarısız
357,Ege'nin Hamsisi,2018,23,1,Mustafa Şevki Doğan,Yıldırım Bayazıt,TRT 1,"['Komedi', 'Aile']",1,0,1,0,0,0,0,Köprü Film,"İclal Aydın,Uğur Çavuşoğlu,Uraz Kaygılaroğlu,Bestemsu Özdemir",140,Mayki Murat Başaran,0,0,0,Başarısız
358,Elimi Bırakma,2018,59,2,Sadullah Celen,Nilüfer Özçelik,TRT 1,"['Dram', 'Aşk']",0,1,0,0,0,0,1,ÜS Yapım,"Alina Boz,Alp Navruz,Dolunay Soysert,Seray Gözler,Nihat Altınkaya,Ebru Aykaç",150,Unknown,0,0,0,Kısmen Başarılı
359,Erkenci Kuş,2018,51,1,Çağrı Bayrak,Aslı Zengin,Star TV,['Romantik komedi'],0,0,1,0,0,0,1,Gold Film,"Can Yaman,Demet Özdemir",120,Cem Öget,0,0,0,Başarısız
360,Gülizar,2018,10,1,Çağan Irmak,Mahinur Ergun,Kanal D,['Dram'],0,1,0,0,0,0,0,O3 Medya,"Farah Zeynep Abdullah,Berk Cankat,Ebru Cündübeyoğlu,Şerif Sezer",120,Unknown,0,0,0,Başarısız
361,Gülperi,2018,30,1,Metin Balekoğlu,Sema Ergenekon,Show TV,['Dram'],0,1,0,0,0,0,0,Tims&B Productions,"Nurgül Yeşilçay,Timuçin Esen,Tarık Pabuçcuoğlu,Ece Sükan,Burak Dakak,Aleyna Özgeçen,Emir Özyakışır,Onur Bilge",120,Atakan Ilgazdağ,0,1,0,Başarısız
362,Hakan: Muhafız,2018,32,4,Umut Aral,Aşkım Özbek,Netflix,"['Fantastik', 'Aksiyon', 'Bilimkurgu', 'Dram']",0,1,0,1,0,0,0,O3 Medya,"Çağatay Ulusoy,Ayça Ayşin Turan,Hazar Ergüçlü,Okan Yalabık,Burçin Terzioğlu,Yurdaer Okur,Engin Öztürk,Taner Ölmez,Funda Eryiğit",45,Unknown,0,1,0,Başarılı
363,Hıçkırık,2018,50,1,Fırat Gürsoy,Nil Fırat,Kanal D,"['Dram', 'Aşk']",0,1,0,0,0,0,1,Birsel Yapım,"Sezgi Sena Akay,Barış Arda Hacıoğlu",60,Osman İşmen,0,0,0,Başarısız
